page_number,frontend_id,title,titleSlug,difficulty,is_premium,topic_tags,num_tags,similar_questions,no_similar_questions,acceptance,accepted,submission,acceptance_rate,discussion_count,likes,dislikes,like_ratio,likebility,is_popular,problem_URL,solution_URL,internal_id,description,last_updated
14,688,Knight Probability in Chessboard,knight-probability-in-chessboard,Medium,False,['Dynamic Programming'],23.0,"['[""[\'Out of Boundary Paths\'""', '""\'Maximum Number of Moves to Kill All Pawns\']""]']",2,56.76397294410822,178584,314608,56.76,70,3990,492,0.89,89.0,True,https://leetcode.com/problems/knight-probability-in-chessboard/,https://leetcode.com/problems/knight-probability-in-chessboard/solution/,,,
14,689,Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,Hard,False,"['Array', 'Dynamic Programming', 'Sliding Window', 'Prefix Sum']",64.0,"['[""[\'Best Time to Buy and Sell Stock III\'""', '""\'Sum of Variable Length Subarrays\'""', '""\'Maximize Y‑Sum by Picking a Triplet of Distinct X‑Values\']""]']",3,59.57231613928623,152551,256077,59.57,145,2590,158,0.94,94.0,True,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/solution/,,,
14,690,Employee Importance,employee-importance,Medium,False,"['Array', 'Hash Table', 'Tree', 'Depth-First Search', 'Breadth-First Search']",77.0,"['[""[\'Nested List Weight Sum\']""]']",1,68.90003034281712,242966,352635,68.9,36,2183,1355,0.62,62.0,True,https://leetcode.com/problems/employee-importance/,https://leetcode.com/problems/employee-importance/solution/,,,
14,691,Stickers to Spell Word,stickers-to-spell-word,Hard,False,"['Array', 'Hash Table', 'String', 'Dynamic Programming', 'Backtracking', 'Bit Manipulation', 'Memoization', 'Bitmask']",118.0,"['[""[\'Ransom Note\']""]']",1,50.36369068636771,92712,184085,50.36,23,1315,129,0.91,91.0,True,https://leetcode.com/problems/stickers-to-spell-word/,https://leetcode.com/problems/stickers-to-spell-word/solution/,,,
14,692,Top K Frequent Words,top-k-frequent-words,Medium,False,"['Array', 'Hash Table', 'String', 'Trie', 'Sorting', 'Heap (Priority Queue)', 'Bucket Sort', 'Counting']",104.0,"['[""[\'Top K Frequent Elements\'""', '""\'K Closest Points to Origin\'""', '""\'Sort Features by Popularity\'""', '""\'Sender With Largest Word Count\'""', '""\'Maximum Number of Pairs in Array\']""]']",5,59.70878822606912,742430,1243420,59.71,58,7930,371,0.96,96.0,True,https://leetcode.com/problems/top-k-frequent-words/,https://leetcode.com/problems/top-k-frequent-words/solution/,,,
14,693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,Easy,False,['Bit Manipulation'],20.0,"['[""[\'Number of 1 Bits\']""]']",1,63.78809423158218,165982,260208,63.79,12,1419,113,0.93,93.0,True,https://leetcode.com/problems/binary-number-with-alternating-bits/,https://leetcode.com/problems/binary-number-with-alternating-bits/solution/,,,
14,694,Number of Distinct Islands,number-of-distinct-islands,Medium,True,"['Hash Table', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Hash Function']",91.0,"['[""[\'Number of Islands\'""', '""\'Number of Distinct Islands II\'""', '""\'Count Sub Islands\']""]']",3,62.52775496310269,200221,320212,62.53,23,2320,152,0.94,94.0,True,https://leetcode.com/problems/number-of-distinct-islands/,,,,
14,695,Max Area of Island,max-area-of-island,Medium,False,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",79.0,"['[""[\'Number of Islands\'""', '""\'Battleships in a Board\'""', '""\'Island Perimeter\'""', '""\'Largest Submatrix With Rearrangements\'""', '""\'Detonate the Maximum Bombs\'""', '""\'Maximum Number of Fish in a Grid\']""]']",6,73.51514345090825,1143666,1555688,73.52,87,10469,217,0.98,98.0,True,https://leetcode.com/problems/max-area-of-island/,https://leetcode.com/problems/max-area-of-island/solution/,,,
14,696,Count Binary Substrings,count-binary-substrings,Easy,False,"['Two Pointers', 'String']",26.0,"['[""[\'Encode and Decode Strings\'""', '""\'Number of Substrings With Fixed Ratio\'""', '""\'Count the Number of Substrings With Dominant Ones\']""]']",3,66.16623321681261,243985,368746,66.17,71,4138,902,0.82,82.0,True,https://leetcode.com/problems/count-binary-substrings/,https://leetcode.com/problems/count-binary-substrings/solution/,,,
14,697,Degree of an Array,degree-of-an-array,Easy,False,"['Array', 'Hash Table']",23.0,"['[""[\'Maximum Subarray\']""]']",1,57.8103463509454,261715,452714,57.81,106,3212,1802,0.64,64.0,True,https://leetcode.com/problems/degree-of-an-array/,https://leetcode.com/problems/degree-of-an-array/solution/,,,
